file,class,dx,dy,mode,dice,hd
22_Heart_2_10.npz,0,0,0,point+box,0.006907075736887494,341.4395993437199
22_Heart_2_10.npz,0,5,0,point+box,0.007462097566925152,340.82840257232084
22_Heart_2_10.npz,0,-5,0,point+box,0.007828729376619584,342.0526275297414
22_Heart_2_10.npz,0,0,5,point+box,0.009036144578309672,338.9041162334857
22_Heart_2_10.npz,0,0,-5,point+box,0.00747549818545239,340.82840257232084
22_Heart_2_10.npz,0,10,10,point+box,0.007807357980980027,342.0526275297414
22_Heart_2_10.npz,0,-10,-10,point+box,0.007254485819023265,342.0526275297414
22_Heart_2_10.npz,1,0,0,point+box,0.0061575169812767075,337.17947743004765
22_Heart_2_10.npz,1,5,0,point+box,0.005623990095061827,335.1492204973779
22_Heart_2_10.npz,1,-5,0,point+box,0.005903463238957439,335.62181097181394
22_Heart_2_10.npz,1,0,5,point+box,0.005740975799961362,337.17947743004765
22_Heart_2_10.npz,1,0,-5,point+box,0.005727153938111784,334.36806067565726
22_Heart_2_10.npz,1,10,10,point+box,0.006292421735561543,337.17947743004765
22_Heart_2_10.npz,1,-10,-10,point+box,0.005955056835762688,337.17947743004765
22_Heart_2_10.npz,2,0,0,point+box,0.0030620748464115543,377.63077205121937
22_Heart_2_10.npz,2,5,0,point+box,0.0029675638371287985,378.88916585196785
22_Heart_2_10.npz,2,-5,0,point+box,0.0031373618878730576,376.56606326114945
22_Heart_2_10.npz,2,0,5,point+box,0.002969733228575539,378.88916585196785
22_Heart_2_10.npz,2,0,-5,point+box,0.0030643229239203655,375.15863311404684
22_Heart_2_10.npz,2,10,10,point+box,0.0029938310344986498,378.2591704109763
22_Heart_2_10.npz,2,-10,-10,point+box,0.003052254598729952,378.2591704109763
22_Heart_2_4.npz,0,0,0,point+box,0.03191046274442454,324.20055521235616
22_Heart_2_4.npz,0,5,0,point+box,0.03205259446301872,325.0
22_Heart_2_4.npz,0,-5,0,point+box,0.032102790666264855,323.40222633742025
22_Heart_2_4.npz,0,0,5,point+box,0.03391470111246726,324.4009864349984
22_Heart_2_4.npz,0,0,-5,point+box,0.03273351420186781,325.0
22_Heart_2_4.npz,0,10,10,point+box,0.032992573836467004,323.80395303331306
22_Heart_2_4.npz,0,-10,-10,point+box,0.032524393294967695,325.0
22_Heart_2_4.npz,1,0,0,point+box,0.0280037879519908,312.00160255998685
22_Heart_2_4.npz,1,5,0,point+box,0.028859876871545693,313.2091952673165
22_Heart_2_4.npz,1,-5,0,point+box,0.01782656421514036,310.0
22_Heart_2_4.npz,1,0,5,point+box,0.029006685419935826,313.2091952673165
22_Heart_2_4.npz,1,0,-5,point+box,0.029782711125230957,313.2091952673165
22_Heart_2_4.npz,1,10,10,point+box,0.029624358257507283,310.80057915003954
22_Heart_2_4.npz,1,-10,-10,point+box,0.029070428226851748,312.00160255998685
22_Heart_2_4.npz,2,0,0,point+box,0.05429838580033597,367.0490430446591
22_Heart_2_4.npz,2,5,0,point+box,0.05508168932808927,367.0490430446591
22_Heart_2_4.npz,2,-5,0,point+box,0.05682088345774946,367.0490430446591
22_Heart_2_4.npz,2,0,5,point+box,0.05413187884697009,367.0490430446591
22_Heart_2_4.npz,2,0,-5,point+box,0.054710197657430355,367.0490430446591
22_Heart_2_4.npz,2,10,10,point+box,0.04963024181862533,365.301245549478
22_Heart_2_4.npz,2,-10,-10,point+box,0.05215276088542511,367.0490430446591
22_Heart_2_8.npz,0,0,0,point+box,0.026935883660809255,328.4585209733491
22_Heart_2_8.npz,0,5,0,point+box,0.0248785771690049,328.2102984368406
22_Heart_2_8.npz,0,-5,0,point+box,0.027478551739088333,330.037876614185
22_Heart_2_8.npz,0,0,5,point+box,0.028037665420412285,328.4585209733491
22_Heart_2_8.npz,0,0,-5,point+box,0.027051939450629385,329.4267748681033
22_Heart_2_8.npz,0,10,10,point+box,0.026846746001887637,330.037876614185
22_Heart_2_8.npz,0,-10,-10,point+box,0.02905935821511855,327.00152904841286
22_Heart_2_8.npz,1,0,0,point+box,0.015206653505536776,320.0390601161052
22_Heart_2_8.npz,1,5,0,point+box,0.013889745012222588,319.24911902775864
22_Heart_2_8.npz,1,-5,0,point+box,0.015060317139171045,322.0558957696629
22_Heart_2_8.npz,1,0,5,point+box,0.013648489360377923,322.0558957696629
22_Heart_2_8.npz,1,0,-5,point+box,0.014888853199307056,321.4420632089086
22_Heart_2_8.npz,1,10,10,point+box,0.015264631382481486,322.0558957696629
22_Heart_2_8.npz,1,-10,-10,point+box,0.014478424801003021,322.0558957696629
22_Heart_2_8.npz,2,0,0,point+box,0.0173783976004192,384.56728930058523
22_Heart_2_8.npz,2,5,0,point+box,0.015553644788379565,380.115771838002
22_Heart_2_8.npz,2,-5,0,point+box,0.016919874208261302,384.56728930058523
22_Heart_2_8.npz,2,0,5,point+box,0.01720116347145605,383.7199499635118
22_Heart_2_8.npz,2,0,-5,point+box,0.016834193490261544,381.6084380618437
22_Heart_2_8.npz,2,10,10,point+box,0.018449620304772364,381.81147180251145
22_Heart_2_8.npz,2,-10,-10,point+box,0.017842725657993764,384.56728930058523
22_Heart_2_9.npz,0,0,0,point+box,0.016014634615999227,330.93352806870445
22_Heart_2_9.npz,0,5,0,point+box,0.016355324971131718,333.2101439032131
22_Heart_2_9.npz,0,-5,0,point+box,0.01208713984538006,331.621772505968
22_Heart_2_9.npz,0,0,5,point+box,0.018325285596512874,331.71674663785063
22_Heart_2_9.npz,0,0,-5,point+box,0.018374993584147143,333.2101439032131
22_Heart_2_9.npz,0,10,10,point+box,0.018581638262780725,332.50112781763613
22_Heart_2_9.npz,0,-10,-10,point+box,0.019054748375240817,332.50112781763613
22_Heart_2_9.npz,1,0,0,point+box,0.012362687732127148,327.0550412392385
22_Heart_2_9.npz,1,5,0,point+box,0.0094281615084994,325.8297101247828
22_Heart_2_9.npz,1,-5,0,point+box,0.012989346340423816,327.0550412392385
22_Heart_2_9.npz,1,0,5,point+box,0.0112966710400473,327.0550412392385
22_Heart_2_9.npz,1,0,-5,point+box,0.012713990966372476,325.4796460610095
22_Heart_2_9.npz,1,10,10,point+box,0.0094630734416592,324.6120761770886
22_Heart_2_9.npz,1,-10,-10,point+box,0.012612539775121844,327.0550412392385
22_Heart_2_9.npz,2,0,0,point+box,0.011286520465744868,379.6024235960566
22_Heart_2_9.npz,2,5,0,point+box,0.011255610685358911,377.6095867427097
22_Heart_2_9.npz,2,-5,0,point+box,0.010805452292439802,378.27238863020386
22_Heart_2_9.npz,2,0,5,point+box,0.008018648018645526,378.27238863020386
22_Heart_2_9.npz,2,0,-5,point+box,0.010997838600726487,379.6024235960566
22_Heart_2_9.npz,2,10,10,point+box,0.011020257520545449,379.6024235960566
22_Heart_2_9.npz,2,-10,-10,point+box,0.012147282417551045,378.27238863020386
22_Heart_3_2.npz,0,0,0,point+box,0.005791638895910714,222.73975846265077
22_Heart_3_2.npz,0,5,0,point+box,0.005783689994215679,222.73975846265077
22_Heart_3_2.npz,0,-5,0,point+box,0.0058482010425047835,222.73975846265077
22_Heart_3_2.npz,0,0,5,point+box,0.00561706942536054,222.73975846265077
22_Heart_3_2.npz,0,0,-5,point+box,0.006311537490531101,220.61731573020282
22_Heart_3_2.npz,0,10,10,point+box,0.006319343945970497,222.03152929257593
22_Heart_3_2.npz,0,-10,-10,point+box,0.006154217449012818,220.61731573020282
22_Heart_3_2.npz,1,0,0,point+box,0.008527850341281111,215.6687274502263
22_Heart_3_2.npz,1,5,0,point+box,0.008667266996847292,214.96046148071045
22_Heart_3_2.npz,1,-5,0,point+box,0.0086765804632309,215.6687274502263
22_Heart_3_2.npz,1,0,5,point+box,0.008337772425132787,214.96046148071045
22_Heart_3_2.npz,1,0,-5,point+box,0.006106870228914399,208.5976989326584
22_Heart_3_2.npz,1,10,10,point+box,0.00875226811826002,214.96046148071045
22_Heart_3_2.npz,1,-10,-10,point+box,0.00880324403008251,215.6687274502263
