file,class,dx,dy,mode,dice,hd
22_Heart_2_10.npz,0,0,0,point,0.00745549738219583,340.82840257232084
22_Heart_2_10.npz,0,0,0,box,0.007458770614691256,340.82840257232084
22_Heart_2_10.npz,0,0,0,both,0.007310519244447475,342.0526275297414
22_Heart_2_10.npz,0,5,0,point,0.007035434082328999,339.24622326563934
22_Heart_2_10.npz,0,5,0,box,0.00820044804867295,342.0526275297414
22_Heart_2_10.npz,0,5,0,both,0.007721750707271996,342.0526275297414
22_Heart_2_10.npz,0,-5,0,point,0.0065978782153747135,339.68956416116174
22_Heart_2_10.npz,0,-5,0,box,0.00756422056731612,342.0526275297414
22_Heart_2_10.npz,0,-5,0,both,0.007154556151439653,340.47613719613304
22_Heart_2_10.npz,0,0,5,point,0.007205499474717534,342.0526275297414
22_Heart_2_10.npz,0,0,5,box,0.0073638856247537484,342.0526275297414
22_Heart_2_10.npz,0,0,5,both,0.007025924847072122,342.0526275297414
22_Heart_2_10.npz,0,0,-5,point,0.0074055856151278255,342.0526275297414
22_Heart_2_10.npz,0,0,-5,box,0.006930105192261064,342.0526275297414
22_Heart_2_10.npz,0,0,-5,both,0.007193253043677537,342.0526275297414
22_Heart_2_10.npz,0,10,10,point,0.007091150834686673,339.6115427955887
22_Heart_2_10.npz,0,10,10,box,0.006818447588805619,342.0526275297414
22_Heart_2_10.npz,0,10,10,both,0.00763526321040154,340.47613719613304
22_Heart_2_10.npz,0,-10,-10,point,0.007704759634085693,340.82840257232084
22_Heart_2_10.npz,0,-10,-10,box,0.007251418807302195,342.0526275297414
22_Heart_2_10.npz,0,-10,-10,both,0.007312478125860458,341.4395993437199
22_Heart_2_10.npz,1,0,0,point,0.005725659417298924,337.17947743004765
22_Heart_2_10.npz,1,0,0,box,0.006033319493460268,337.17947743004765
22_Heart_2_10.npz,1,0,0,both,0.006213343626144412,337.17947743004765
22_Heart_2_10.npz,1,5,0,point,0.00589119042267482,337.17947743004765
22_Heart_2_10.npz,1,5,0,box,0.0058339084426035585,337.17947743004765
22_Heart_2_10.npz,1,5,0,both,0.005862565584907666,336.55460181076114
22_Heart_2_10.npz,1,-5,0,point,0.005994951619688158,336.55460181076114
22_Heart_2_10.npz,1,-5,0,box,0.005847986290600473,337.17947743004765
22_Heart_2_10.npz,1,-5,0,both,0.006044839655661429,337.17947743004765
22_Heart_2_10.npz,1,0,5,point,0.0061373985349429,334.8611652610676
22_Heart_2_10.npz,1,0,5,box,0.00606843953102457,334.8611652610676
22_Heart_2_10.npz,1,0,5,both,0.0063839898143078135,337.17947743004765
22_Heart_2_10.npz,1,0,-5,point,0.005451489937286813,335.9315406448165
22_Heart_2_10.npz,1,0,-5,box,0.006311685359861675,337.17947743004765
22_Heart_2_10.npz,1,0,-5,both,0.00597007484404856,337.17947743004765
