dx,dy,mode,dice_mean,dice_std,hd_mean,hd_std
-10,-10,both,0.021901674419438917,0.013468866769529624,272.1064209147069,101.18779543813116
-10,-10,box,0.02229199967185063,0.014308950043264186,271.9128181929174,100.93000520739375
-10,-10,point,0.022232082496589412,0.013746236272894464,272.17814918322324,101.11940191316893
-5,0,both,0.02262067613893577,0.014314210809550632,272.3152944135523,101.17922878181277
-5,0,box,0.02204392802514828,0.014450759645461504,272.23326217454024,101.16361951635221
-5,0,point,0.021878390002158375,0.013746438170850916,272.42284870003186,101.18600038040911
0,-5,both,0.020617325183812724,0.012300502154492158,271.80758904102345,101.28259292922847
0,-5,box,0.021948488746592425,0.013263804231075673,273.673988142197,102.21589385622646
0,-5,point,0.021602246572863255,0.013858146531831286,271.9754017566749,101.02972824382334
0,0,both,0.02193686047615781,0.013719749624175858,272.414124516072,101.13506969492308
0,0,box,0.02193113648910055,0.013622088478913889,272.1469591224736,101.31852611311525
0,0,point,0.02176270880059742,0.013583779131167047,272.04041252072227,100.76789250323655
0,5,both,0.022145394280479534,0.013691583374782646,272.1859658500008,100.98133868882337
0,5,box,0.021861103001880575,0.013953424172843851,272.0827129339408,100.85390460644507
0,5,point,0.021556187378181223,0.012970367365370234,272.0603150054479,101.03444449034848
5,0,both,0.0214102416024215,0.013200737396061682,272.2634214462221,101.33533740796703
5,0,box,0.022122896994173073,0.01401711235239452,272.13929566553077,100.90680521214544
5,0,point,0.02187000182507509,0.014315122171219087,270.51871283191934,100.66128024863333
10,10,both,0.022424889065148782,0.014445455962123536,272.23485196269587,101.12779615784491
10,10,box,0.021436884401858657,0.012818318832326684,272.0852142095757,101.15403946978927
10,10,point,0.021553278749645237,0.015336463729020271,270.79211783306596,101.0340329535265
