version,mode,threshold,dice,hd95
original,point,0.2,0.49999999999553574,15.556349186104045
original,point,0.3,0.44875346259973453,15.811388300841896
original,point,0.5,0.28542094455559114,16.401219466856727
original,box,0.2,0.8364368394522576,5.830951894845301
original,box,0.3,0.85581874355893,5.385164807134504
original,box,0.5,0.8856837606790295,5.0
original,both,0.2,0.8765822784763894,5.0
original,both,0.3,0.8983783783735223,4.242640687119285
original,both,0.5,0.9271300448378524,3.605551275463989
original,point,0.2,0.0,19.0
original,point,0.3,0.0,19.026297590440446
original,point,0.5,0.0,20.0
original,box,0.2,0.5372658429631835,14.7648230602334
original,box,0.3,0.5535934291558374,14.7648230602334
original,box,0.5,0.5632582322332614,14.7648230602334
original,both,0.2,0.5689729265123808,14.7648230602334
original,both,0.3,0.5759717314462193,14.7648230602334
original,both,0.5,0.558139534881125,14.7648230602334
original,point,0.2,0.3751617076277469,16.1245154965971
original,point,0.3,0.3786127167575345,15.652475842498529
original,point,0.5,0.44635193132089374,16.401219466856727
original,box,0.2,0.6500479386323103,7.615773105863909
original,box,0.3,0.6808080808012039,7.0710678118654755
original,box,0.5,0.7311111111029877,6.4031242374328485
original,both,0.2,0.6260387811576543,8.602325267042627
original,both,0.3,0.6544401544338375,8.06225774829855
original,both,0.5,0.6874350986429134,7.0710678118654755
original,point,0.2,0.12206345362043579,40.24922359499622
original,point,0.3,0.10878048780461273,40.70626487409524
original,point,0.5,0.08920650566759683,41.14608122288197
original,box,0.2,0.8585083916851634,16.278820596099706
original,box,0.3,0.8691317955246677,15.556349186104045
original,box,0.5,0.7709281478406138,13.038404810405298
original,both,0.2,0.9374082476966002,8.48528137423857
original,both,0.3,0.9199449793659973,9.848857801796104
original,both,0.5,0.8788797459204867,10.770329614269007
original,point,0.2,0.0,52.88667128870941
original,point,0.3,0.0,53.150729063673246
original,point,0.5,0.0,53.46026561849464
original,box,0.2,0.6777280130286261,14.866068747318506
original,box,0.3,0.7102643690455845,14.422205101855956
original,box,0.5,0.7541136655376891,13.416407864998739
original,both,0.2,0.5660664468671494,15.556349186104045
original,both,0.3,0.5082765335922823,15.0
original,both,0.5,0.3622655388003636,39.6232255123179
original,point,0.2,0.3169731445954267,66.0
original,point,0.3,0.2791830109559324,66.12110101926616
original,point,0.5,0.20816901408421384,67.0
original,box,0.2,0.9446332804585356,8.0
original,box,0.3,0.954541922448555,5.830951894845301
original,box,0.5,0.9501650430714513,5.385164807134504
original,both,0.2,0.9354384404410826,11.40175425099138
original,both,0.3,0.9569776407085914,7.0
original,both,0.5,0.9543661971823304,5.0
original,point,0.2,0.14424728105282128,32.55764119219941
original,point,0.3,0.09518213866011992,33.301651610693426
original,point,0.5,0.0827912477821325,33.301651610693426
original,box,0.2,0.8688062306957582,15.556349186104045
original,box,0.3,0.8922437673117836,14.142135623730951
original,box,0.5,0.928748360773818,8.48528137423857
original,both,0.2,0.9622935493908347,4.242640687119285
original,both,0.3,0.9471999999984845,4.123105625617661
original,both,0.5,0.8914926133454042,9.219544457292887
original,point,0.2,0.0,42.80186911806539
original,point,0.3,0.0,43.08131845707603
original,point,0.5,0.0,43.60045871318328
original,box,0.2,0.48775626423620766,23.853720883753127
original,box,0.3,0.5155772755031833,21.213203435596427
original,box,0.5,0.5605451686168783,17.26267650163207
original,both,0.2,0.3977428702144308,28.42534080710379
original,both,0.3,0.36767740911197383,28.42534080710379
original,both,0.5,0.2796216680992612,28.42534080710379
original,point,0.2,0.44901664145098635,45.60701700396552
original,point,0.3,0.47348868625304463,46.57252408878007
original,point,0.5,0.45051194539078304,47.53945729601885
original,box,0.2,0.6846625766859165,33.60059523282288
original,box,0.3,0.7124338141305232,30.870698080866262
original,box,0.5,0.7722334004008607,23.259406699226016
original,both,0.2,0.6838145231834054,34.17601498127012
original,both,0.3,0.710147567861705,31.304951684997057
original,both,0.5,0.7743877960642827,23.259406699226016
original,point,0.2,0.20206362854599286,27.018512172212592
original,point,0.3,0.18410768562664304,27.018512172212592
original,point,0.5,0.12969588550925898,27.65863337187866
original,box,0.2,0.8712248322129379,10.63014581273465
original,box,0.3,0.8921821305822762,9.899494936611665
original,box,0.5,0.9290235081353323,8.48528137423857
original,both,0.2,0.9500117343324337,5.0
original,both,0.3,0.9503135552316684,4.242640687119285
original,both,0.5,0.9390824768088767,3.1622776601683795
original,point,0.2,0.013683010262179687,32.69556544854363
original,point,0.3,0.0,33.12099032335839
original,point,0.5,0.0,33.12099032335839
original,box,0.2,0.5186020293113142,22.627416997969522
original,box,0.3,0.5247045146279312,22.627416997969522
original,box,0.5,0.5185185185174633,22.627416997969522
original,both,0.2,0.4246395806019558,22.627416997969522
original,both,0.3,0.4034969737717922,22.627416997969522
original,both,0.5,0.344499881206119,22.627416997969522
original,point,0.2,0.4636559139765004,36.76955262170047
original,point,0.3,0.5381026438541312,37.69615364994153
original,point,0.5,0.49687322341957435,39.56008088970496
original,box,0.2,0.6779388083717716,25.0
original,box,0.3,0.7084391758376843,16.97056274847714
original,box,0.5,0.7382870784818315,15.556349186104045
original,both,0.2,0.6803124158344188,22.80350850198276
original,both,0.3,0.710317460315447,17.72004514666935
original,both,0.5,0.7433042431515399,15.132745950421556
original,point,0.2,0.24046920820409182,8.48528137423857
original,point,0.3,0.21428571427933674,8.48528137423857
original,point,0.5,0.18181818181267217,8.602325267042627
original,box,0.2,0.8415147264959114,3.605551275463989
original,box,0.3,0.8784773059900662,2.8284271247461903
original,box,0.5,0.9199999999858461,2.23606797749979
original,both,0.2,0.8510638297751622,3.605551275463989
original,both,0.3,0.884955752199337,2.8284271247461903
original,both,0.5,0.9188361408741372,2.8284271247461903
original,point,0.2,0.0,12.529964086141668
original,point,0.3,0.0,12.529964086141668
original,point,0.5,0.0,15.811388300841896
original,box,0.2,0.6403508771883015,8.94427190999916
original,box,0.3,0.6517524235596439,8.94427190999916
original,box,0.5,0.6687258687207048,8.94427190999916
original,both,0.2,0.6712962962911166,8.94427190999916
original,both,0.3,0.6734534064160262,8.94427190999916
original,both,0.5,0.6677604593874672,8.94427190999916
original,point,0.2,0.6382978722951561,4.0
original,point,0.3,0.5781249999548339,4.0
original,point,0.5,0.4814814814368999,4.123105625617661
original,box,0.2,0.6403508771648969,4.47213595499958
original,box,0.3,0.6545454545157025,4.123105625617661
original,box,0.5,0.719999999964,3.605551275463989
original,both,0.2,0.6521739130151228,4.47213595499958
original,both,0.3,0.6635944700155025,4.47213595499958
original,both,0.5,0.7171717171354963,4.123105625617661
original,point,0.2,0.1789883268412845,7.280109889280518
original,point,0.3,0.1574803149544299,7.615773105863909
original,point,0.5,0.1428571428514739,7.615773105863909
original,box,0.2,0.8283185840561359,4.242640687119285
original,box,0.3,0.8509090908936198,3.605551275463989
original,box,0.5,0.8766603415393422,3.1622776601683795
original,both,0.2,0.8618784530228015,2.8284271247461903
