organ,file,class,dx,dy,mode,dice,hd
heart,22_Heart_2_10.npz,0,0,0,point,0.0,149.20120642943877
heart,22_Heart_2_10.npz,0,0,0,box,0.0,181.2181006411887
heart,22_Heart_2_10.npz,0,0,0,both,0.0,180.54639292990598
heart,22_Heart_2_10.npz,1,0,0,point,0.0,143.54441821262157
heart,22_Heart_2_10.npz,1,0,0,box,0.0,183.44754018519845
heart,22_Heart_2_10.npz,1,0,0,both,0.0,183.44754018519845
heart,22_Heart_2_10.npz,2,0,0,point,0.0,nan
heart,22_Heart_2_10.npz,2,0,0,box,0.0,188.66107176627614
heart,22_Heart_2_10.npz,2,0,0,both,0.0,187.40864441108366
heart,22_Heart_2_4.npz,0,0,0,point,0.0,176.50212463310464
heart,22_Heart_2_4.npz,0,0,0,box,0.0,189.02116283633427
heart,22_Heart_2_4.npz,0,0,0,both,0.0,189.02116283633427
heart,22_Heart_2_4.npz,1,0,0,point,0.0,180.9447429465692
heart,22_Heart_2_4.npz,1,0,0,box,0.0,198.07069445023916
heart,22_Heart_2_4.npz,1,0,0,both,0.0,198.70832896484234
heart,22_Heart_2_4.npz,2,0,0,point,0.0,177.99157283422156
heart,22_Heart_2_4.npz,2,0,0,box,0.0,189.99473676920633
heart,22_Heart_2_4.npz,2,0,0,both,0.0,189.73665961010275
heart,22_Heart_2_8.npz,0,0,0,point,0.0,139.0
heart,22_Heart_2_8.npz,0,0,0,box,0.0,184.85940603604675
heart,22_Heart_2_8.npz,0,0,0,both,0.0,184.39088914585776
heart,22_Heart_2_8.npz,1,0,0,point,0.0,146.7310464761974
heart,22_Heart_2_8.npz,1,0,0,box,0.0,188.50198937942272
heart,22_Heart_2_8.npz,1,0,0,both,0.0,187.72320048411703
heart,22_Heart_2_8.npz,2,0,0,point,0.0,nan
heart,22_Heart_2_8.npz,2,0,0,box,0.0,210.80085388821365
heart,22_Heart_2_8.npz,2,0,0,both,0.0,198.2145302443794
heart,22_Heart_2_9.npz,0,0,0,point,0.0,136.4734406395618
heart,22_Heart_2_9.npz,0,0,0,box,0.0,183.3712082089225
heart,22_Heart_2_9.npz,0,0,0,both,0.0,182.70194306574848
heart,22_Heart_2_9.npz,1,0,0,point,0.0,138.43771162512041
heart,22_Heart_2_9.npz,1,0,0,box,0.0,187.1095935541521
heart,22_Heart_2_9.npz,1,0,0,both,0.0,186.560981987124
heart,22_Heart_2_9.npz,2,0,0,point,0.0,nan
heart,22_Heart_2_9.npz,2,0,0,box,0.0,191.4601786273062
heart,22_Heart_2_9.npz,2,0,0,both,0.0,189.40168953839878
heart,22_Heart_3_2.npz,0,0,0,point,0.0,101.51847122568385
heart,22_Heart_3_2.npz,0,0,0,box,0.0,166.88319268278636
heart,22_Heart_3_2.npz,0,0,0,both,0.0,166.88319268278636
heart,22_Heart_3_2.npz,1,0,0,point,0.0,94.93682109698007
heart,22_Heart_3_2.npz,1,0,0,box,0.0,170.4494059831245
heart,22_Heart_3_2.npz,1,0,0,both,0.0,170.4494059831245
heart,22_Heart_3_2.npz,2,0,0,point,0.0,112.64102272262978
heart,22_Heart_3_2.npz,2,0,0,box,0.0,166.50825805346713
heart,22_Heart_3_2.npz,2,0,0,both,0.0,165.8493292117879
heart,22_Heart_4_2.npz,0,0,0,point,0.0,nan
heart,22_Heart_4_2.npz,0,0,0,box,0.0,128.3160161476345
heart,22_Heart_4_2.npz,0,0,0,both,0.0,128.3160161476345
heart,22_Heart_4_2.npz,1,0,0,point,0.0,nan
heart,22_Heart_4_2.npz,1,0,0,box,0.0,133.30416347586447
heart,22_Heart_4_2.npz,1,0,0,both,0.0,130.4837154590564
heart,22_Heart_4_5.npz,0,0,0,point,0.0,nan
heart,22_Heart_4_5.npz,0,0,0,box,0.0,128.08200498118384
heart,22_Heart_4_5.npz,0,0,0,both,0.0,128.08200498118384
heart,22_Heart_4_5.npz,1,0,0,point,0.0,nan
heart,22_Heart_4_5.npz,1,0,0,box,0.0,131.64345787011217
heart,22_Heart_4_5.npz,1,0,0,both,0.0,131.64345787011217
heart,22_Heart_4_5.npz,2,0,0,point,0.0,111.9866063420086
heart,22_Heart_4_5.npz,2,0,0,box,0.0,130.91982279242512
heart,22_Heart_4_5.npz,2,0,0,both,0.0,130.91982279242512
heart,22_Heart_4_6.npz,0,0,0,point,0.0,nan
heart,22_Heart_4_6.npz,0,0,0,box,0.0,133.05637902783917
heart,22_Heart_4_6.npz,0,0,0,both,0.0,133.05637902783917
heart,22_Heart_4_6.npz,1,0,0,point,0.0,104.95713410721541
heart,22_Heart_4_6.npz,1,0,0,box,0.0,135.83077707206124
heart,22_Heart_4_6.npz,1,0,0,both,0.0,135.83077707206124
heart,22_Heart_4_6.npz,2,0,0,point,0.0,102.61091559868278
heart,22_Heart_4_6.npz,2,0,0,box,0.0,133.4053971921676
heart,22_Heart_4_6.npz,2,0,0,both,0.0,133.06013678032951
heart,22_Heart_4_7.npz,0,0,0,point,0.0,96.04686356149273
heart,22_Heart_4_7.npz,0,0,0,box,0.0,130.38404810405297
heart,22_Heart_4_7.npz,0,0,0,both,0.0,130.38404810405297
heart,22_Heart_4_7.npz,1,0,0,point,0.0,102.44998779892558
heart,22_Heart_4_7.npz,1,0,0,box,0.0,136.7808466123821
heart,22_Heart_4_7.npz,1,0,0,both,0.0,136.7808466123821
heart,22_Heart_4_7.npz,2,0,0,point,0.0,100.0
heart,22_Heart_4_7.npz,2,0,0,box,0.0,137.43725841270262
heart,22_Heart_4_7.npz,2,0,0,both,0.0,133.96268137059664
heart,22_Heart_4_9.npz,0,0,0,point,0.0,97.30878685915265
heart,22_Heart_4_9.npz,0,0,0,box,0.0,132.32157798333574
heart,22_Heart_4_9.npz,0,0,0,both,0.0,132.45754036671525
heart,22_Heart_4_9.npz,1,0,0,point,0.0,103.47946656221224
heart,22_Heart_4_9.npz,1,0,0,box,0.0,139.38794782907166
heart,22_Heart_4_9.npz,1,0,0,both,0.0,138.70832707519762
heart,22_Heart_4_9.npz,2,0,0,point,0.0,102.1420579389313
heart,22_Heart_4_9.npz,2,0,0,box,0.0,133.60014970051492
heart,22_Heart_4_9.npz,2,0,0,both,0.0,133.60014970051492
heart,22_Heart_5_11.npz,0,0,0,point,0.0,136.85028315644803
heart,22_Heart_5_11.npz,0,0,0,box,0.0,176.86718180600946
heart,22_Heart_5_11.npz,0,0,0,both,0.0,176.86718180600946
heart,22_Heart_5_11.npz,1,0,0,point,0.0,140.8900280360537
heart,22_Heart_5_11.npz,1,0,0,box,0.0,184.7187050625897
heart,22_Heart_5_11.npz,1,0,0,both,0.0,183.98369492974098
heart,22_Heart_5_11.npz,2,0,0,point,0.0,186.47251808242416
heart,22_Heart_5_11.npz,2,0,0,box,0.0,159.0125781188394
heart,22_Heart_5_11.npz,2,0,0,both,0.0,159.0125781188394
heart,22_Heart_5_2.npz,0,0,0,point,0.0,135.1184665395519
heart,22_Heart_5_2.npz,0,0,0,box,0.0,158.4455742518547
heart,22_Heart_5_2.npz,0,0,0,both,0.0,158.4455742518547
heart,22_Heart_5_2.npz,1,0,0,point,0.0,136.74063039199433
heart,22_Heart_5_2.npz,1,0,0,box,0.0,164.20109622045769
heart,22_Heart_5_2.npz,1,0,0,both,0.0,164.20109622045769
heart,22_Heart_5_5.npz,0,0,0,point,0.0,115.88356225108029
heart,22_Heart_5_5.npz,0,0,0,box,0.0,158.93709447451215
heart,22_Heart_5_5.npz,0,0,0,both,0.0,158.3729774930054
