organ,file,class,dx,dy,mode,dice,hd
heart,22_Heart_2_10.npz,0,0,0,point,0.044877425536993976,154.65122049308243
heart,22_Heart_2_10.npz,0,0,0,box,0.0,177.341478509682
heart,22_Heart_2_10.npz,0,0,0,both,0.0,167.53805537847214
heart,22_Heart_2_10.npz,1,0,0,point,0.04522674489669346,151.48927354766738
heart,22_Heart_2_10.npz,1,0,0,box,0.0,178.22738285684386
heart,22_Heart_2_10.npz,1,0,0,both,0.0,158.41717078650282
heart,22_Heart_2_10.npz,2,0,0,point,0.011473544471832223,136.13228860193308
heart,22_Heart_2_10.npz,2,0,0,box,0.0,181.20706387997132
heart,22_Heart_2_10.npz,2,0,0,both,0.0,165.65325230734229
heart,22_Heart_2_4.npz,0,0,0,point,0.1253628504896088,142.76203977248295
heart,22_Heart_2_4.npz,0,0,0,box,0.0,186.17196351760379
heart,22_Heart_2_4.npz,0,0,0,both,0.0,186.17196351760379
heart,22_Heart_2_4.npz,1,0,0,point,0.18146753051071826,129.41792766073794
heart,22_Heart_2_4.npz,1,0,0,box,0.0,192.60841103129428
heart,22_Heart_2_4.npz,1,0,0,both,0.0,194.61243536834948
heart,22_Heart_2_4.npz,2,0,0,point,0.2829268292682288,123.68508398347798
heart,22_Heart_2_4.npz,2,0,0,box,0.0,189.74720024284943
heart,22_Heart_2_4.npz,2,0,0,both,0.0,180.42172818150257
heart,22_Heart_2_8.npz,0,0,0,point,0.16675394193280774,149.01342221424215
heart,22_Heart_2_8.npz,0,0,0,box,0.0,179.21216476567656
heart,22_Heart_2_8.npz,0,0,0,both,0.0,138.27870407260838
heart,22_Heart_2_8.npz,1,0,0,point,0.10463992266792393,137.59360450253493
heart,22_Heart_2_8.npz,1,0,0,box,0.0,181.47451611727746
heart,22_Heart_2_8.npz,1,0,0,both,0.0,146.01369798755184
heart,22_Heart_2_8.npz,2,0,0,point,0.10353689230358895,128.51459061133875
heart,22_Heart_2_8.npz,2,0,0,box,0.0,173.44163283364233
heart,22_Heart_2_8.npz,2,0,0,both,0.0,122.38055401083949
heart,22_Heart_2_9.npz,0,0,0,point,0.0015749891719488227,163.76812876747417
heart,22_Heart_2_9.npz,0,0,0,box,0.0,180.62391868188442
heart,22_Heart_2_9.npz,0,0,0,both,0.0,173.6663467687393
heart,22_Heart_2_9.npz,1,0,0,point,0.036689700559379444,153.8440769090575
heart,22_Heart_2_9.npz,1,0,0,box,0.0,182.0988742414406
heart,22_Heart_2_9.npz,1,0,0,both,0.0,176.1817243643619
heart,22_Heart_2_9.npz,2,0,0,point,0.008917388908366856,129.46814279968643
heart,22_Heart_2_9.npz,2,0,0,box,0.0,185.20529150107996
heart,22_Heart_2_9.npz,2,0,0,both,0.0,143.68020044529447
heart,22_Heart_3_2.npz,0,0,0,point,0.010379858657232354,138.2244551445221
heart,22_Heart_3_2.npz,0,0,0,box,0.0,166.88319268278636
heart,22_Heart_3_2.npz,0,0,0,both,0.0,156.02884348735012
heart,22_Heart_3_2.npz,1,0,0,point,0.022096904131635287,132.61975720080324
heart,22_Heart_3_2.npz,1,0,0,box,0.0,169.72919607421701
heart,22_Heart_3_2.npz,1,0,0,both,0.0,166.97305171793442
heart,22_Heart_3_2.npz,2,0,0,point,0.0007754943776647597,128.4445405612866
heart,22_Heart_3_2.npz,2,0,0,box,0.0,163.6001222493431
heart,22_Heart_3_2.npz,2,0,0,both,0.0,158.25612152457168
heart,22_Heart_4_2.npz,0,0,0,point,0.020314235835549414,112.69871339105873
heart,22_Heart_4_2.npz,0,0,0,box,0.0,128.3160161476345
heart,22_Heart_4_2.npz,0,0,0,both,0.0,127.66362050325849
heart,22_Heart_4_2.npz,1,0,0,point,0.022713130055969644,107.93516572461452
heart,22_Heart_4_2.npz,1,0,0,box,0.0,130.4837154590564
heart,22_Heart_4_2.npz,1,0,0,both,0.0,129.72663566130126
heart,22_Heart_4_5.npz,0,0,0,point,0.016435986159134004,102.53292154230269
heart,22_Heart_4_5.npz,0,0,0,box,0.0,125.93649193144932
heart,22_Heart_4_5.npz,0,0,0,both,0.0,125.93649193144932
heart,22_Heart_4_5.npz,1,0,0,point,0.011988424968970674,96.20810776644555
heart,22_Heart_4_5.npz,1,0,0,box,0.0,130.29965464267354
heart,22_Heart_4_5.npz,1,0,0,both,0.0,129.634100452003
heart,22_Heart_4_5.npz,2,0,0,point,0.0,95.26804291051643
heart,22_Heart_4_5.npz,2,0,0,box,0.0,128.4562182223967
heart,22_Heart_4_5.npz,2,0,0,both,0.0,128.22636234409833
heart,22_Heart_4_6.npz,0,0,0,point,0.04587155963295739,76.83749084919418
heart,22_Heart_4_6.npz,0,0,0,box,0.0,129.4488315899375
heart,22_Heart_4_6.npz,0,0,0,both,0.0,128.76334882255898
heart,22_Heart_4_6.npz,1,0,0,point,0.06616766467055964,72.00694410957877
heart,22_Heart_4_6.npz,1,0,0,box,0.0,133.05637902783917
heart,22_Heart_4_6.npz,1,0,0,both,0.0,133.05637902783917
heart,22_Heart_4_6.npz,2,0,0,point,0.16561546286843212,90.4267659490264
heart,22_Heart_4_6.npz,2,0,0,box,0.0,129.46814279968643
heart,22_Heart_4_6.npz,2,0,0,both,0.0,128.84486796143648
heart,22_Heart_4_7.npz,0,0,0,point,0.03195152182890518,82.09750300709517
heart,22_Heart_4_7.npz,0,0,0,box,0.0,129.72663566130126
heart,22_Heart_4_7.npz,0,0,0,both,0.0,129.634100452003
heart,22_Heart_4_7.npz,1,0,0,point,0.08371847352425232,75.47184905645283
heart,22_Heart_4_7.npz,1,0,0,box,0.0,133.2066064427737
heart,22_Heart_4_7.npz,1,0,0,both,0.0,132.5481044753187
heart,22_Heart_4_7.npz,2,0,0,point,0.07364427583112332,84.64632301523794
heart,22_Heart_4_7.npz,2,0,0,box,0.0,129.86531484580476
