organ,file,class,dx,dy,mode,dice,hd
Pancreas,6_Pancreas_10_43_0.npz,2,0,0,point,0.010124841652185312,391.24672522591163
Pancreas,6_Pancreas_10_43_0.npz,2,0,0,box,0.009817268421758427,388.63093031821336
Pancreas,6_Pancreas_10_43_0.npz,2,0,0,both,0.010196970252722225,387.33189902201445
Pancreas,6_Pancreas_10_43_0.npz,2,5,0,point,0.009612233752046312,391.24672522591163
Pancreas,6_Pancreas_10_43_0.npz,2,5,0,box,0.010005912584704594,389.9358921669048
Pancreas,6_Pancreas_10_43_0.npz,2,5,0,both,0.009593320615961739,389.74093959962687
Pancreas,6_Pancreas_10_43_0.npz,2,-5,0,point,0.00967460010975321,389.1799069839038
Pancreas,6_Pancreas_10_43_0.npz,2,-5,0,box,0.010063589052739217,391.24672522591163
Pancreas,6_Pancreas_10_43_0.npz,2,-5,0,both,0.009767000200248711,389.9358921669048
Pancreas,6_Pancreas_10_43_0.npz,2,0,5,point,0.00994586754383607,391.24672522591163
Pancreas,6_Pancreas_10_43_0.npz,2,0,5,box,0.008347826086952373,387.98066962156764
Pancreas,6_Pancreas_10_43_0.npz,2,0,5,both,0.00948682530167336,391.24672522591163
Pancreas,6_Pancreas_10_43_0.npz,2,0,-5,point,0.009469530907493945,391.24672522591163
Pancreas,6_Pancreas_10_43_0.npz,2,0,-5,box,0.009823705163700812,387.4906450483676
Pancreas,6_Pancreas_10_43_0.npz,2,0,-5,both,0.009951776097828647,389.74093959962687
Pancreas,6_Pancreas_10_43_0.npz,2,10,10,point,0.009904398968055488,391.24672522591163
Pancreas,6_Pancreas_10_43_0.npz,2,10,10,box,0.009972316000136332,391.24672522591163
Pancreas,6_Pancreas_10_43_0.npz,2,10,10,both,0.009744658676391417,387.33189902201445
Pancreas,6_Pancreas_10_43_0.npz,2,-10,-10,point,0.009847404826019082,389.74093959962687
Pancreas,6_Pancreas_10_43_0.npz,2,-10,-10,box,0.009752618098109149,391.24672522591163
Pancreas,6_Pancreas_10_43_0.npz,2,-10,-10,both,0.009912222123885888,390.59057848340376
Pancreas,6_Pancreas_10_52_1.npz,2,0,0,point,0.004591629418934926,444.6807843835845
Pancreas,6_Pancreas_10_52_1.npz,2,0,0,box,0.0046480482136508254,440.75957164876183
